SPAZZOLINI ELETTRICI,LANDFILL,LARGE,
SPECCHI,LANDFILL,LARGE,
SPUGNE,GENERIC,,
STAGNOLA (pulita),GLASS,,
STENDINO PER BIANCHERIA,LANDFILL,LARGE,
STEREO,LANDFILL,LARGE,
STOFFA (RITAGLI),CLOTHES,,
STRACCI,CLOTHES,,
STRUMENTI MUSICALI,LANDFILL,LARGE,
STUZZICADENTI,HUMID,,
SUGHERO,HUMID,,
SVEGLIA,LANDFILL,LARGE,
TAGLIERE IN LEGNO E PLASTIC,LANDFILL,LARGE,
TANICHE PER USO DOMESTICO in latta,GLASS,,
TANICHE PER USO DOMESTICO in plastica,PLASTIC,,
TAPPETI,LANDFILL,LARGE,
TAPPEZZERIA,GENERIC,,
TAPPI IN METALLO E A CORONA,GLASS,,
TASTIERA DEL COMPUTER,LANDFILL,LARGE,
TELECOMANDO,LANDFILL,LARGE,
TELEFONO,LANDFILL,LARGE,
TELEVISORE,LANDFILL,LARGE,
TENDE IN STOFFA,CLOTHES,,
TERRACOTTA,LANDFILL,LARGE,
TERRICCIO PER PIANTE,HUMID,GREEN,
TETRAPAK,PAPER,,
TONER,AUTHORIZED_DEALERS,,
TOVAGLIA IN CARTA,PAPER,,
TRIELINA,LANDFILL,,
TUBETTI COLORI CON RESIDUI,GENERIC,,
TUBETTI DENTIFRICIO,PLASTIC,GLASS,
TUBI AL NEON,LANDFILL,,
TUBI IN ALLUMINIO,LANDFILL,,
TUBI IN FERRO,LANDFILL,,
TUBI IN GOMMA,LANDFILL,,
TUBI IN PVC PER IDRAULICO,LANDFILL,,
UOVA,HUMID,,
UTENSILI BRICOLAGE,LANDFILL,,
VALIGIA,LANDFILL,LARGE,
VASCHETTA PORTAUOVA IN CARTA,PAPER,,
VASCHETTE PER ALIMENTI (latta),GLASS,,
VASCHETTE PER ALIMENTI (plastica),PLASTIC,,
VASIDA TRAPIANTAREIN PLASTIC PER PIANTE,PLASTIC,,
VASI IN PLASTIC (grandi dimensioni),LANDFILL,LARGE,
VASI IN TERRACOTTA (piccole e grandi dimensioni),LANDFILL,LARGE,
VASI IN VETRO,GLASS,,
VENTILATORI,LANDFILL,LARGE,
VERDURA (avanzi),HUMID,,
VETRO,GLASS,,
VIDEOCASSETTE,GENERIC,,
VIDEOGAME E CONSOLE,LANDFILL,LARGE,
VIDEOREGISTRATORE,LANDFILL,LARGE,
VITI METALLICHE,GLASS,,
VOLANTINI,PAPER,,
ZAINO,GENERIC,,
ZANZARIERA,GENERIC,,
ZERBINO,GENERIC,,
ZOCCOLI IN BUONO STATO,CLOTHES,,
